media_id,url,name,pub_country,pub_state,primary_language,subject_country,media_type,public_notes,is_monitored,editor_notes
12,"http://www.dallasnews.com/","Dallas Morning News","USA","US-TX","en","United States","print_native",,False,
13,"http://www.newsday.com/","Newsday","USA","US-NY","en","United States","print_native",,False,
22,"http://www.tampabay.com/","Tampa Bay Times","USA","US-FL","en","United States","print_native",,False,
25,"http://www.ocregister.com/","The Orange County Register","USA","US-CA","en","United States","print_native",,False,
26,"http://www.sacbee.com/","The Sacramento Bee","USA","US-CA","en","United States","print_native",,False,
29,"http://www.indystar.com/apps/pbcs.dll/frontpage","The Indianapolis Star",,,"en","United States",,,False,
44,"http://www.charlotte.com/","The Charlotte Observer",,,"en","United States",,,False,
72,"http://www.desmoinesregister.com/apps/pbcs.dll/frontpage","Des Moines Register",,,"en","United States",,,False,
215,"http://www.cqpolitics.com/wmspage.cfm?parm1=5","CQ Politics ",,,"en","United States",,,False,
1100,"http://www.usnews.com/","US News & World Report ","USA",,"en","United States","print_native",,False,
1104,"http://www.forbes.com/","Forbes","USA",,"en","United States","print_native",,True,
1150,"http://online.wsj.com/","Wall Street Journal","USA",,"en","United States",,,True,
1409,"http://www.opb.org/","kopb","USA","US-OR","en","United States","video_broadcast",,True,
1641,"http://www.cleveland.com/","cleveland.com","USA","US-OH","en","United States","digital_native",,False,
1750,"http://www.telegraph.co.uk/","Daily Telegraph","GBR",,"en","United Kingdom of Great Britain and Northern Ireland","print_native",,True,
1755,"http://www.cnbc.com/","CNBC","USA",,"en","United States","video_broadcast",,False,
1756,"http://www.suntimes.com/index.html","Chicago Sun-Times",,,"en","United States",,,False,
4442,"http://www.reuters.com","Reuters","MEX","PA","es","none","other",,True,
5766,"http://www.people.com/news","People",,,"en","United States",,,False,
6264,"http://www.commentarymagazine.com/blogs","Commentary",,,"en","none",,,False,
18350,"http://www.deadline.com","Deadline",,,,,,,False,
18364,"http://thehill.com/rss/syndicator/19109","The Hill","USA","US-KY","en","United States","print_native",,False,
