media_id,url,name,pub_country,pub_state,primary_language,subject_country,media_type,public_notes,is_monitored,editor_notes
1,"http://nytimes.com","New York Times","USA","NY","en","United States","print_native",,True,
2,"http://washingtonpost.com","Washington Post","USA","DC","en","United States","print_native",,True,
3,"http://csmonitor.com","Christian Science Monitor","USA","MA","en",,"print_native",,True,
6,"http://www.latimes.com/","LA Times","USA","US-CA","en","United States","print_native",,True,
8,"http://www.nydailynews.com/","Daily News","USA","US-NY","en","United States","print_native","Public info about ny daily news",True,
9,"http://www.chicagotribune.com/","Chicago Tribune","USA","US-IL","en","United States","print_native",,False,
10,"http://www.chron.com/","houstonchronicle","USA","US-TX","en","United States","print_native",,False,
14,"http://www.sfgate.com/","sfchronicle","USA","US-CA","en","United States","digital_native",,True,
15,"http://www.boston.com/bostonglobe/","The Boston Globe","USA",,"en","United States",,,True,
21,"http://www.freep.com/apps/pbcs.dll/frontpage","Detroit Free Press",,,"en","United States",,,False,
28,"http://www.miamiherald.com/","Miami Herald","USA","US-FL","en","United States","print_native",,False,
30,"http://www.kansascity.com/","The Kansas City Star","USA","US-MO","en","United States","print_native",,False,
34,"http://www.baltimoresun.com/","The Baltimore Sun","USA","US-MD","en","United States","print_native",,False,
36,"http://www.jsonline.com/","Milwaukee Journal Sentinel ","USA","US-WI","en","United States","print_native",,False,
38,"http://www.orlandosentinel.com/","The Orlando Sentinel","USA","US-FL","en","United States","print_native",,False,
39,"http://www.sun-sentinel.com/","South Florida Sun-Sentinel","USA","US-FL","en","United States","print_native",,False,
41,"http://www.dispatch.com/","The Columbus Dispatch","USA","US-OH","en","United States","print_native",,False,
45,"http://www.post-gazette.com/","Pittsburgh Post-Gazette ","USA","US-PA","en","United States","print_native",,False,
58,"http://www.newsobserver.com/","The News & Observer ","USA","US-NC","en","United States","print_native",,False,
60,"http://www.palmbeachpost.com/","The Palm Beach Post ","USA","US-FL","en","United States","video_broadcast",,False,
74,"http://www.dailynews.com/","Los Angeles Daily News","USA","US-CA","en","United States","print_native",,False,
97,"http://www.mcall.com/","Morning Call","USA","US-PA","en","United States","print_native",,False,
955,"http://www.theonion.com/content/index","The Onion ",,,"en","United States",,,False,
