media_id,url,name,pub_country,pub_state,primary_language,subject_country,media_type,public_notes,is_monitored,editor_notes
18,"http://www.philly.com/inquirer/","Philadelphia Inquirer",,,"en","United States",,,False,
23,"http://www.oregonlive.com/oregonian/","The Oregonian",,,"en","United States",,,False,
59,"http://www.courant.com/","The Hartford Courant ","USA","US-CT","en","United States","print_native",,False,
78,"http://www.sltrib.com/","The Salt Lake Tribune ","USA","US-UT","en","United States","print_native",,False,
96,"http://www.kentucky.com/","Lexington Herald-Leader ","USA","US-KY","en","United States","print_native",,False,
108,"http://www.wonkette.com","Wonkette Blog",,,"en","United States",,,False,
111,"http://thinkprogress.org","Think Progress  ","USA",,"en","United States",,,False,
113,"http://www.talkingpointsmemo.com","Talking Points Memo","USA",,"en","United States","digital_native",,False,
115,"http://www.dailykos.com","Daily Kos","USA",,"en","United States","digital_native",,False,
139,"http://www.americablog.com","AMERICAblog",,,"en","United States",,,False,
140,"http://politicalwire.com","Taegan Goddard's Political Wire","USA",,"en","United States","digital_native",,False,
159,"http://www.queerty.com","Queerty ",,,"en","United States",,,False,
225,"http://www.thenation.com/blogs/thebeat","The Beat",,,"en","United States",,,False,
294,"http://www.washingtonmonthly.com","The Washington Monthly",,,"en","United States",,,False,
307,"http://www.crooksandliars.com","Crooks and Liars",,,"en","United States",,,False,
332,"http://rudepundit.blogspot.com/","The Rude Pundit",,,"en","United States",,,False,
361,"http://www.democrats.org/blog.html","The Democratic Party",,,"en","United States",,,False,
419,"http://www.prospect.org/cs/blogs","The American Prospect",,,"en","United States",,,False,
664,"http://www.ourfuture.org/blog","Our Future",,,"en","United States",,,False,
752,"http://www.cjr.org/campaign_desk/","Campaign Desk: CJR","USA",,"en","United States",,,False,
798,"http://factcheck.org/","FactCheck.org","USA",,"en","United States","digital_native",,False,
853,"http://www.littlegreenfootballs.com/weblog/weblog.php","Little Green Footballs",,,"en","United States",,,False,
1096,"http://www.npr.org/","NPR","USA",,"en","United States","video_broadcast",,False,
1101,"http://www.newyorker.com/","New Yorker","USA",,"en","United States","print_native",,False,
1109,"http://nymag.com/","New York Magazine","USA","US-NY","en","United States","print_native",,False,
1112,"http://www.motherjones.com/","Mother Jones","USA",,"en","United States","print_native",,False,
1127,"http://rawstory.com","Raw Story","USA",,"en","United States","digital_native",,False,
1133,"http://www.commondreams.org/","Common Dreams","USA",,"en","United States",,,False,
1147,"http://mediamatters.org","Media Matters",,,"en","United States",,,False,
1149,"http://www.msnbc.msn.com/","MSNBC","USA",,"en","United States",,,True,
1206,"http://www.univision.com/content/channel.jhtml?chid=9683&schid=9684","kuvn univision",,,"es","United States",,,True,
1707,"http://www.thedailybeast.com/","The Daily Beast","USA",,"en","United States","digital_native",,False,
1720,"http://boingboing.net","Boing Boing","USA",,"en","United States",,,False,
1723,"http://www.pri.org","Public Radio International (PRI)",,,"en",,"video_broadcast",,False,
1757,"http://www.salon.com/","Salon","USA",,"en","United States","digital_native",,False,
4425,"http://www.slate.com?from=rss","Slate","USA",,"en","United States",,,False,
5521,"http://www.rollingstone.com","Rolling Stone","USA",,"en","United States","print_native",,False,
5915,"http://www.fivethirtyeight.com/","FiveThirtyEight","USA",,"en","United States","digital_native",,False,
6154,"http://jezebel.com","Jezebel","USA",,"en","United States","digital_native",,False,
6274,"http://www.swamppolitics.com/news/politics/blog","The Swamp",,,"en","United States",,,False,
6932,"http://www.sierraclub.org/carlpope/","Taking the Initiative: Carl Pope's Blog - Sierra Club",,,"en","United States",,,False,
7212,"http://technologizer.com","Technologizer","USA",,"en","United States",,,False,
18391,"http://www.politifact.com","Politifact",,,,,,,False,
19081,"http://storify.com","storify.com",,,,,,,False,
19115,"http://www.brookings.edu","brookings.edu",,,,,,,False,
19647,"http://www.king5.com","king5.com","USA","US-WA","en",,"video_broadcast",,False,
19970,"http://www.people-press.org","Pew Research US Politics",,,,,,,False,
20153,"http://www.foreignpolicy.com","Foreign Policy","USA",,"en","none",,,False,
20324,"http://www.funnyordie.com","Funny or Die",,,"en","United States",,,False,
20397,"https://www.documentcloud.org","documentcloud.org",,,,,,,False,
20401,"http://www.dailydot.com","Daily Dot","USA",,,,,,False,
20563,"http://www.good.is","good.is","USA",,"en","United States",,,False,
20598,"http://www.washingtonblade.com","washingtonblade.com","USA","US-DC","en",,"print_native",,False,
20782,"http://thenewcivilrightsmovement.com","thenewcivilrightsmovement.com",,,,,,,False,
20827,"http://www.deathandtaxesmag.com","deathandtaxesmag.com",,,,,,,False,
20982,"http://www.vanityfair.com","Vanity Fair","USA",,"en","United States","print_native",,False,
21015,"http://www.lgbtqnation.com","lgbtqnation.com",,,,,,,False,
21816,"http://egbertowillies.com","egbertowillies.com",,,,,,,False,
21933,"http://www.sanders.senate.gov","sanders.senate.gov",,,,,,,False,
22018,"http://www.addictinginfo.org","addictinginfo.org",,,"en","United States",,,False,
22121,"http://www.burlingtonfreepress.com","Burlington Free Press",,,,,,,False,
22332,"http://www.truth-out.org","Truthout","USA",,,,"digital_native",,True,
22716,"http://www.nhpr.org","nhpr.org","USA","US-NH","en",,"video_broadcast",,False,
22744,"http://flipboard.com","flipboard.com",,,,,,,False,
23014,"http://www.truthdig.com","Truth Dig","USA",,,,,,False,
23022,"http://WWW.PRWATCH.ORG","PRWatch",,,,,,,False,
23668,"http://www.eluniversal.com.mx","eluniversal.com.mx","MEX","MX-DIF","es","Mexico","print_native",,False,
24531,"http://www.esquire.com","Esquire","USA",,"en","United States",,,False,
