media_id,url,name,pub_country,pub_state,primary_language,subject_country,media_type,public_notes,is_monitored,editor_notes
7,"http://www.nypost.com/","NY Post","USA","US-NY","en","United States","print_native",,True,
51,"http://www.bostonherald.com/","Boston Herald","USA","US-MA","en","United States","print_native",,True,
61,"http://www.tennessean.com/apps/pbcs.dll/frontpage","The Tennessean",,,"en","United States",,,False,
64,"http://www.lvrj.com/","Las Vegas Review-Journal ","USA","US-NV","en","United States","print_native",,False,
75,"http://www.app.com/apps/pbcs.dll/frontpage","Asbury Park Press ",,,"en","United States",,,False,
101,"http://www.washingtontimes.com/","Washington Times","USA","US-DC","en","United States","print_native",,False,
106,"http://www.delawareonline.com/apps/pbcs.dll/frontpage","The News Journal - New Castle, DA",,,"en","United States",,,False,
109,"http://powerlineblog.com","Power Line",,,"en","United States",,,False,
114,"http://www.rightwingnews.com","Right Wing News",,,"en","United States",,,False,
116,"http://pajamasmedia.com","Pajamas Media ",,,"en","United States",,,False,
117,"http://hotair.com","Hot Air  ","USA",,"en","United States","digital_native",,False,
133,"http://radaronline.com/exclusives/","Radar Online",,,"en","United States",,,False,
230,"http://tammybruce.com","Tammy Bruce",,,"en","United States",,,False,
304,"http://www.freerepublic.com/tag/*/index","Free Republic",,,"en","United States",,,False,
350,"http://www.gopusa.com","GOPUSA ",,,"en","United States",,,False,
622,"http://www.dickmorris.com/blog/","DickMorris.com",,,"en","United States",,,False,
759,"http://www.townhall.com/blog/","Townhall",,,"en","United States",,,False,
805,"http://www.fitsnews.com/category/sc-politics/","FITSNews For Now",,,"en","United States",,,False,
871,"http://michellemalkin.com/","Michelle Malkin ",,,"en","United States",,,False,
1092,"http://www.foxnews.com/","FOX News","USA","GA","en","United States","video_broadcast",,True,
1118,"http://www.bostonmagazine.com/index.html","Boston Magazine ",,,"en","United States",,,False,
1125,"http://newsbusters.org","NewsBusters","USA",,"en","United States","digital_native",,False,
1129,"http://jihadwatch.org","Jihad Watch",,,"en","United States",,,False,
1198,"http://www.nbcdfw.com/","kxas nbc 5","USA","US-TX","en","United States","video_broadcast",,True,
1747,"http://www.dailymail.co.uk/home/index.html","Daily Mail","GBR",,"en","none",,,True,
1754,"http://www.thesun.co.uk/sol/homepage/","The Sun | The Best for News, Sport, Showbiz, Celebrities & TV | The Sun| The Sun","GBR",,"en","United Kingdom of Great Britain and Northern Ireland","print_native",,False,
1759,"http://rian.ru","Главные новости часа | Лента новостей ""РИА Новости""","RUS",,"ru","United States",,,False,
4422,"http://dilbert.com/","Dilbert Daily Strip",,,"en","United States",,,False,
5900,"http://pajamasmedia.com/instapundit","Instapundit",,,"en","United States",,,False,
6173,"http://www.amazon.com/gp/goldbox","Amazon.com Gold Box Deals",,,"en","United States",,,False,
6270,"http://www.judicialwatch.org","Judicial Watch",,,"en","United States",,,False,
6307,"http://www.shark-tank.net","The Shark Tank",,,"en","United States",,,False,
6322,"http://www.collinsreport.net","Collins Report",,,"en","none",,,False,
6338,"http://www.westernjournalism.com","Western Journalism Center",,,"en","United States",,,False,
6443,"http://www.washingtonexaminer.com/politics","Washington Examiner","USA",,"en","United States",,,False,
6805,"http://www.shallownation.com","Shallow Nation",,,"en","United States",,,False,
17970,"http://gop.com","RNC",,,"en","United States",,,False,
18174,"http://www.siouxcityjournal.com/","Sioux City Journal","USA","US-IA","en","United States","print_native",,False,
18468,"http://www.activistpost.com","activistpost.com",,,,,,,False,
18515,"http://www.infowars.com","InfoWars",,,"en","United States",,,False,
18559,"https://plus.google.com","plus.google.com","USA",,,,,,False,
18620,"http://www.fbi.gov","FBI",,,,,,,False,
18689,"http://www.canadafreepress.com","canadafreepress.com","CAN",,"en","United States","digital_native",,False,
18775,"http://dailycaller.com","Daily Caller","USA",,"en","United States","digital_native",,False,
19082,"http://pjmedia.com","PJMedia","USA",,"en","United States","digital_native",,False,
19091,"http://patdollard.com","patdollard.com",,,,,,,False,
19148,"http://www.prisonplanet.com","prisonplanet.com",,,,,,,False,
19154,"http://www.dropbox.com","dropbox.com",,,"en","United States",,,False,
