media_id,url,name,pub_country,pub_state,primary_language,subject_country,media_type,public_notes,is_monitored,editor_notes
1,"http://nytimes.com","New York Times","USA","NY","en","United States","print_native",,True,
2,"http://washingtonpost.com","Washington Post","USA","DC","en","United States","print_native",,True,
6,"http://www.latimes.com/","LA Times","USA","US-CA","en","United States","print_native",,True,
7,"http://www.nypost.com/","NY Post","USA","US-NY","en","United States","print_native",,True,
8,"http://www.nydailynews.com/","Daily News","USA","US-NY","en","United States","print_native","Public info about ny daily news",True,
9,"http://www.chicagotribune.com/","Chicago Tribune","USA","US-IL","en","United States","print_native",,False,
10,"http://www.chron.com/","houstonchronicle","USA","US-TX","en","United States","print_native",,False,
12,"http://www.dallasnews.com/","Dallas Morning News","USA","US-TX","en","United States","print_native",,False,
14,"http://www.sfgate.com/","sfchronicle","USA","US-CA","en","United States","digital_native",,True,
15,"http://www.boston.com/bostonglobe/","The Boston Globe","USA",,"en","United States",,,True,
1095,"http://www.cnn.com/","CNN","USA","GA","en","United States",,"this is a public note about cnn",True,
1096,"http://www.npr.org/","NPR","USA",,"en","United States","video_broadcast",,False,
1100,"http://www.usnews.com/","US News & World Report ","USA",,"en","United States","print_native",,False,
1110,"http://www.theatlantic.com/","The Atlantic","USA",,"en","United States","print_native",,False,
1149,"http://www.msnbc.msn.com/","MSNBC","USA",,"en","United States",,,True,
1707,"http://www.thedailybeast.com/","The Daily Beast","USA",,"en","United States","digital_native",,False,
1747,"http://www.dailymail.co.uk/home/index.html","Daily Mail","GBR",,"en","none",,,True,
1750,"http://www.telegraph.co.uk/","Daily Telegraph","GBR",,"en","United Kingdom of Great Britain and Northern Ireland","print_native",,True,
1751,"http://www.guardian.com/us","Guardian US","GBR",,,,,,True,
1752,"http://www.cbsnews.com/","cbs news","USA","NY","en","United States","video_broadcast",,True,
1757,"http://www.salon.com/","Salon","USA",,"en","United States","digital_native",,False,
4415,"http://cnet.com","CNET","USA",,"en","United States","digital_native","this is a new public note about cnet",True,
4419,"http://time.com","Time","USA",,"en","United States",,,True,
4420,"http://engadget.com","Engadget",,,"en","United States",,,False,
4438,"http://techcrunch.com","TechCrunch","USA",,"en","United States",,,False,
5527,"http://mashable.com","Mashable!","USA",,"en","United States","digital_native",,False,
5880,"http://gawker.com","Gawker","USA",,"en","United States","digital_native",,False,
6218,"http://www.buzzfeed.com","Buzzfeed","USA",,"en","none","digital_native",,False,
18710,"http://www.businessinsider.com","Business Insider","USA",,"en","United States","digital_native",,False,
19643,"http://www.slate.com","Slate.com","USA",,,,"digital_native",,True,
20120,"http://www.nj.com","nj.com","USA","US-NJ","en","United States","digital_native",,False,
20262,"http://www.freep.com","freep.com","USA","US-MI","en","United States","print_native",,False,
22088,"http://www.theblaze.com","The Blaze","USA",,"en","United States","digital_native",,False,
24725,"http://www.al.com","al.com","USA","US-AL","en","United States","digital_native",,False,
24901,"http://bleacherreport.com","bleacherreport.com","USA",,"en","United States","digital_native",,False,
25499,"http://www.nbcnews.com","NBC News","USA",,"en","United States",,,False,
26164,"http://m.vice.com","Vice","USA",,"en","United States",,,False,
26357,"http://www.upworthy.com","Upworthy","USA",,,,"digital_native",,True,
27502,"http://www.huffingtonpost.com/#","Huffington Post","USA",,"en","United States",,,True,
38706,"http://news.yahoo.com/","Yahoo News","USA",,"en","United States","digital_native","null",True,
40876,"http://www.mirror.co.uk/","themirror","GBR",,"en","United Kingdom of Great Britain and Northern Ireland","print_native",,False,
41150,"http://www.independent.co.uk/","Independent","GBR",,"en","none","digital_native",,False,
59690,"http://foxnews.com/","foxnews.com",,,"en","United States",,,False,
64866,"http://usatoday.com/","USAToday","USA","US-OH","en","United States","digital_native",,True,
65422,"http://mlive.com/","mlive.com","USA","US-MI","en","United States","digital_native",,False,
70102,"http://elitedaily.com/#spider","elitedaily.com","USA",,"en","United States","digital_native",,False,
104828,"http://www.vox.com","Vox","USA",,"en","United States","digital_native",,False,
109076,"http://mic.com/","Mic","USA",,"en","United States","digital_native",,False,
